Top Çalma,Pas Arası,Top Uzaklaştırma,İsabetli Pas,İsabetli Pas %,İsabetli Orta,İsabetli Orta %,İsabetli Uzun Top,İsabetli Uzun Top %,Başarılı Top Sürme,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele,Kazanılan Toplam İkili Mücadele %,Oyuncu,Oyuncu ID,Takım,Takım ID,Takım Kısaltması,90s,minutesPlayed,appearances
1.02,1.3,3.44,31.11,74.12,2.32,32.89,3.99,39.09,0.84,2.69,0.93,3.62,54.17,Caner Erkin,15680,Eyüpspor,7040,Eyüpspor,10.766666666666667,969,14
1.44,2.23,4.09,54.95,87.53,0.0,0.0,3.66,57.95,0.22,2.51,3.81,6.32,57.14,Alexander Djiku,289977,Fenerbahçe,3052,Fenerbahçe,13.922222222222222,1253,16
1.15,1.15,3.46,47.12,87.99,0.16,37.5,2.09,40.0,0.6,3.13,2.14,5.28,64.0,Jerome Opoku,920514,Başakşehir FK,3086,Başakşehir FK,18.18888888888889,1637,19
1.15,1.02,2.8,29.96,82.46,0.76,60.0,1.91,41.67,0.64,2.55,1.91,4.46,50.72,Jayden Oosterwolde,1048324,Fenerbahçe,3052,Fenerbahçe,7.844444444444444,706,8
1.93,1.31,1.67,35.66,82.89,1.31,26.6,1.77,42.5,0.63,3.45,0.78,4.23,54.0,Taha Şahin,1394729,Çaykur Rizespor,3064,Çaykur Rizespor,19.155555555555555,1724,20
1.9,1.05,2.2,25.55,70.68,1.85,33.94,2.65,42.74,0.45,3.0,1.05,4.05,54.73,Guilherme Haubert Sityá,224112,Konyaspor,3085,Konyaspor,20.0,1800,20
1.38,0.72,5.44,49.75,86.64,0.07,100.0,3.41,43.33,0.13,2.1,2.29,4.39,55.37,Nuno Lima,1133301,Alanyaspor,6362,Alanyaspor,15.255555555555556,1373,18
2.14,1.01,1.89,32.03,84.41,0.19,12.0,1.64,52.0,0.57,3.78,1.2,4.97,65.83,Eren Elmalı,981483,Trabzonspor,3051,Trabzonspor,15.88888888888889,1430,17
3.95,1.76,2.25,26.36,69.89,0.43,14.58,2.85,42.73,1.88,6.92,2.61,9.53,60.15,Gökhan Sazdağı,595396,Kayserispor,3072,Kayserispor,16.466666666666665,1482,17
1.8,2.03,4.61,39.49,84.73,0.0,0.0,1.88,39.34,0.08,2.89,3.91,6.8,62.59,Çağlar Söyüncü,758608,Fenerbahçe,3052,Fenerbahçe,12.78888888888889,1151,16
1.84,1.03,2.3,14.69,65.47,0.8,22.22,2.12,45.12,0.98,3.67,2.3,5.97,53.33,Djalma,973933,Göztepe,3054,Göztepe,17.42222222222222,1568,19
2.17,1.62,4.66,45.38,88.77,0.0,0.0,1.73,50.0,0.11,2.92,4.98,7.91,63.48,Ousseynou Ba,889430,Başakşehir FK,3086,Başakşehir FK,9.233333333333333,831,10
2.21,1.71,4.75,48.23,86.62,0.0,0.0,3.53,52.03,0.06,2.87,2.54,5.41,57.99,Thalisson Kelven,863277,Antalyaspor,3056,Antalyaspor,18.122222222222224,1631,19
3.37,1.86,1.6,34.41,81.11,0.76,21.95,2.78,55.93,1.1,5.65,0.67,6.33,59.06,Kévin Rodrigues,234232,Kasımpaşa,6063,Kasımpaşa,11.855555555555556,1067,14
1.28,1.51,5.23,35.7,85.75,0.0,0.0,2.56,57.89,0.12,1.74,1.86,3.6,54.39,Julian Jeanvier,250477,Kayserispor,3072,Kayserispor,8.6,774,10
2.18,2.36,2.99,30.76,79.02,0.64,36.84,2.18,48.0,0.0,2.9,1.45,4.35,61.54,Mert Müldür,836683,Fenerbahçe,3052,Fenerbahçe,11.022222222222222,992,17
1.38,0.65,1.89,27.56,75.25,1.31,23.08,2.25,45.59,0.22,2.25,0.73,2.97,60.29,Hasan Ali Kaldırım,39847,Kayserispor,3072,Kayserispor,13.78888888888889,1241,17
1.89,0.95,2.7,37.82,83.71,0.51,23.33,3.35,54.12,0.58,2.91,1.53,4.45,59.22,Kaan Ayhan,138152,Galatasaray,3061,Galatasaray,13.722222222222221,1235,16
1.49,0.83,2.32,34.67,76.7,1.49,26.09,5.72,53.08,0.25,2.57,1.0,3.57,56.58,Jure Balkovec,171625,Alanyaspor,6362,Alanyaspor,12.055555555555555,1085,15
1.25,1.84,3.9,29.41,79.68,0.0,0.0,2.72,33.04,0.44,1.91,1.54,3.46,64.38,Arlind Ajeti,111746,Bodrum FK,202390,Bodrum FK,13.6,1224,14
0.84,0.48,2.86,47.86,91.97,0.0,0.0,2.63,56.41,0.36,1.91,1.55,3.46,63.04,Stefano Denswil,97404,Trabzonspor,3051,Trabzonspor,8.377777777777778,754,9
1.01,1.62,3.25,22.53,70.03,0.0,0.0,2.84,38.36,0.1,1.52,2.64,4.16,52.56,Koray Günter,138165,Göztepe,3054,Göztepe,9.855555555555556,887,13
1.18,1.24,5.41,30.41,76.59,0.0,0.0,2.76,33.57,0.24,1.94,2.53,4.47,63.33,Ali Aytemur,802650,Bodrum FK,202390,Bodrum FK,17.0,1530,17
1.91,1.59,5.24,48.53,82.23,0.16,18.18,3.42,39.45,0.56,3.18,1.99,5.16,57.02,Emirhan Topçu,895009,Beşiktaş,3050,Beşiktaş,12.588888888888889,1133,17
1.22,1.11,5.0,33.48,85.9,0.0,0.0,2.5,47.37,0.0,1.33,1.78,3.11,52.83,Noah Sonko Sundberg,279541,Sivasspor,3076,Sivasspor,18.011111111111113,1621,19
1.65,1.1,1.92,31.88,84.06,1.65,21.05,1.65,42.86,0.55,3.3,1.1,4.4,53.33,Casper Højer,281233,Çaykur Rizespor,3064,Çaykur Rizespor,7.277777777777778,655,11
1.85,0.76,1.09,29.78,87.78,0.33,30.0,0.98,56.25,0.44,4.47,0.76,5.24,55.17,Bright Osayi-Samuel,791616,Fenerbahçe,3052,Fenerbahçe,9.166666666666666,825,14
2.46,2.59,3.62,31.42,79.15,0.39,25.0,2.59,55.56,0.91,4.14,1.42,5.56,50.0,Umut Meraş,609746,Eyüpspor,7040,Eyüpspor,7.733333333333333,696,15
1.96,1.59,4.11,29.86,82.82,0.0,0.0,2.76,43.27,0.43,2.94,1.96,4.9,62.99,Guy-Marcelin Kilama,944222,Hatayspor,3091,Hatayspor,16.31111111111111,1468,17
