Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,Oyuncu,Oyuncu ID,Takım,Takım ID,Takım Kısaltması,90s,minutesPlayed,appearances
0.26,1.66,55.88,1.13,0.44,0.17,21.39,79.55,1.13,0.52,1.22,2.53,0.96,5.85,1.57,49.71,1.75,Davidson,814334,Başakşehir FK,3086,Başakşehir FK,11.455555555555556,1031,19
0.0,0.09,100.0,0.56,0.09,0.19,34.64,83.45,0.74,0.28,2.6,2.69,1.67,3.07,1.95,66.67,0.28,Onur Ergün,893009,Başakşehir FK,3086,Başakşehir FK,10.766666666666667,969,17
0.48,2.31,54.55,1.73,0.86,0.29,27.18,80.86,2.21,1.25,0.58,0.77,0.77,4.99,0.67,44.7,1.92,Bilal Boutobba,769163,Hatayspor,3091,Hatayspor,10.411111111111111,937,18
0.26,0.26,80.0,1.04,0.46,0.13,24.98,74.95,0.85,0.13,1.17,2.22,1.43,3.13,2.48,47.25,0.65,Novatus Miroshi,1103597,Göztepe,3054,Göztepe,15.333333333333334,1380,19
0.28,0.69,41.46,1.21,0.61,0.04,11.04,66.91,0.73,0.32,0.28,0.65,0.32,2.71,1.25,44.95,1.38,Mamadou Fall,822228,Kasımpaşa,6063,Kasımpaşa,24.72222222222222,2225,27
0.0,2.52,56.47,1.05,0.32,0.11,30.72,81.56,1.1,0.32,1.1,1.74,1.42,5.84,0.89,51.61,1.63,Mustafa Eskihellaç,899069,Trabzonspor,3051,Trabzonspor,19.011111111111113,1711,21
0.14,0.43,34.62,1.18,0.19,0.24,28.07,78.23,1.09,0.62,0.66,1.66,0.95,3.41,1.23,47.57,1.33,Mortadha Ben Ouanes,919225,Kasımpaşa,6063,Kasımpaşa,21.122222222222224,1901,24
0.07,0.49,70.0,2.02,0.42,0.14,35.29,82.98,1.6,1.18,2.71,1.39,0.7,2.23,0.35,46.84,0.35,Nicolas Janvier,802150,Alanyaspor,6362,Alanyaspor,14.366666666666667,1293,25
0.04,0.79,64.29,0.88,0.26,0.04,47.78,89.94,0.53,0.22,2.5,1.36,0.92,3.68,1.23,52.83,1.53,Batista Mendy,859021,Trabzonspor,3051,Trabzonspor,22.833333333333332,2055,24
0.08,0.55,63.64,1.27,0.48,0.08,36.44,76.54,0.63,0.08,4.83,1.35,1.19,2.85,2.14,52.5,0.95,Chandrel Massanga,1083138,Hatayspor,3091,Hatayspor,12.622222222222222,1136,15
0.0,0.7,73.68,0.65,0.2,0.15,28.31,83.41,0.85,0.05,1.59,2.69,1.2,5.38,0.7,57.55,2.04,Badou Ndiaye,228342,Gaziantep FK,5138,Gaziantep FK,20.066666666666666,1806,22
0.0,1.13,51.61,2.41,1.13,0.42,20.96,76.88,1.98,1.27,3.33,0.99,0.42,3.04,0.28,47.47,0.92,Yusuf Sarı,896364,Başakşehir FK,3086,Başakşehir FK,14.122222222222222,1271,20
0.1,0.1,28.57,1.1,0.38,0.1,23.43,71.99,0.38,0.05,1.62,2.34,1.34,3.29,3.15,58.95,0.91,Marko Jevtović,310068,Konyaspor,3085,Konyaspor,20.955555555555556,1886,25
0.0,0.88,60.0,0.95,0.22,0.07,29.88,80.59,0.37,0.29,2.57,2.42,1.17,4.18,1.39,54.68,1.03,Taylan Antalyalı,190197,Bodrum FK,202390,Bodrum FK,13.622222222222222,1226,16
0.24,0.98,43.24,1.1,0.55,0.06,24.0,83.26,1.04,0.55,1.47,1.4,0.92,3.54,0.43,49.24,1.28,Alassane Ndao,1016033,Konyaspor,3085,Konyaspor,16.377777777777776,1474,23
0.14,0.61,75.0,0.68,0.2,0.14,56.95,87.7,0.54,0.27,5.15,1.02,0.95,2.23,0.47,39.6,0.68,Sofyan Amrabat,359272,Fenerbahçe,3052,Fenerbahçe,14.766666666666667,1329,20
0.0,0.44,33.33,1.33,0.59,0.59,33.21,77.51,2.97,1.33,2.52,2.08,0.74,3.41,1.04,44.12,0.89,İrfan Can Kahveci,226986,Fenerbahçe,3052,Fenerbahçe,6.7444444444444445,607,17
0.24,1.31,44.0,1.91,1.07,0.24,17.88,72.12,1.79,1.07,1.91,1.91,0.24,4.65,1.19,52.69,1.55,Emrah Başsan,174141,Sivasspor,3076,Sivasspor,8.38888888888889,755,15
0.37,1.74,53.85,1.36,1.12,0.12,32.98,83.91,1.61,0.25,0.87,0.5,0.25,4.34,0.0,52.24,2.11,Samu Sáiz,99527,Eyüpspor,7040,Eyüpspor,8.066666666666666,726,16
0.0,0.57,57.89,1.51,0.37,0.16,19.92,68.58,0.68,0.16,2.87,1.36,0.99,3.08,3.91,54.25,1.15,Musah Mohammed,1105505,Bodrum FK,202390,Bodrum FK,19.177777777777777,1726,21
0.12,0.31,45.45,1.9,0.73,0.12,24.6,78.36,0.43,0.18,2.81,1.65,1.22,3.3,1.9,56.67,1.41,Gökhan Gül,797820,Kasımpaşa,6063,Kasımpaşa,16.344444444444445,1471,23
0.19,0.66,38.89,2.07,0.94,0.56,15.25,70.74,2.64,1.22,0.75,1.6,0.19,3.48,2.82,36.22,1.32,Kuryu Matsuki,1154637,Göztepe,3054,Göztepe,10.622222222222222,956,23
0.32,0.64,22.22,4.13,1.27,0.32,23.53,78.72,2.23,0.95,0.32,0.95,0.32,3.82,0.0,41.38,2.23,Can Keleş,918408,Kasımpaşa,6063,Kasımpaşa,3.1444444444444444,283,11
0.29,0.97,40.82,1.26,0.73,0.24,24.36,75.98,1.31,0.15,1.11,1.11,0.58,2.81,0.34,35.14,0.73,Sam Larsson,229800,Antalyaspor,3056,Antalyaspor,20.644444444444446,1858,23
0.0,0.94,45.45,0.85,0.28,0.19,24.85,77.65,1.51,1.41,1.79,0.94,0.66,3.58,0.28,42.71,1.69,Alex Pritchard,180009,Sivasspor,3076,Sivasspor,10.622222222222222,956,16
0.0,0.68,60.0,0.62,0.0,0.0,35.71,82.88,0.28,0.0,1.97,2.93,1.41,4.34,1.18,47.8,0.73,Lamine Diack,982317,Hatayspor,3091,Hatayspor,17.755555555555556,1598,19
0.14,0.42,37.5,2.08,0.69,0.14,21.81,80.51,1.53,1.25,0.97,1.81,0.42,4.03,0.97,58.06,1.81,Serdar Gürler,96520,Başakşehir FK,3086,Başakşehir FK,7.2,648,12
0.0,0.61,52.17,0.96,0.35,0.1,32.41,83.9,1.01,0.2,1.42,2.02,0.61,3.34,0.71,50.31,0.71,Samuel Moutoussamy,892624,Sivasspor,3076,Sivasspor,19.77777777777778,1780,22
0.0,0.59,37.5,1.57,0.59,0.39,40.2,83.0,1.18,0.0,3.53,3.14,0.98,5.29,1.57,43.21,1.57,Salih Uçan,135695,Beşiktaş,3050,Beşiktaş,5.1,459,13
0.21,0.89,48.15,1.58,0.62,0.34,17.75,81.96,0.82,0.55,0.34,0.82,0.41,3.29,0.34,46.09,1.58,Garry Rodrigues,787429,Sivasspor,3076,Sivasspor,14.588888888888889,1313,18
0.0,0.72,57.14,1.99,0.18,0.54,33.98,79.32,1.99,1.08,0.9,3.43,1.63,4.88,0.9,49.23,0.72,Kerem Demirbay,142619,Galatasaray,3061,Galatasaray,5.533333333333333,498,17
0.18,4.15,55.56,1.01,0.37,0.0,13.09,71.36,0.92,0.28,0.37,1.11,0.55,8.02,0.18,51.74,2.77,Moussa Djenepo,869910,Antalyaspor,3056,Antalyaspor,10.844444444444445,976,18
0.0,0.74,71.43,1.63,0.15,0.0,34.7,87.31,0.89,0.3,0.89,1.48,1.33,3.56,1.33,39.29,1.33,Umut Güneş,876782,Başakşehir FK,3086,Başakşehir FK,6.7444444444444445,607,13
0.1,0.97,31.75,1.84,0.68,0.24,14.22,84.24,1.16,0.97,0.39,1.06,0.39,4.4,0.19,42.04,2.37,Joelson Fernandes,1032547,Hatayspor,3091,Hatayspor,20.677777777777777,1861,25
0.04,0.77,50.0,1.07,0.17,0.04,34.89,82.64,0.77,0.34,1.76,0.56,0.64,3.43,1.03,49.76,2.1,Gaius Makouta,847013,Alanyaspor,6362,Alanyaspor,23.333333333333332,2100,26
0.55,0.0,0.0,1.64,0.55,0.27,21.88,70.18,1.91,1.37,2.19,2.74,1.37,5.2,0.82,40.74,2.46,Furkan Soyalp,226992,Gaziantep FK,5138,Gaziantep FK,3.6555555555555554,329,12
0.12,1.0,35.42,1.93,0.59,0.29,20.68,72.78,1.41,0.41,0.76,1.76,0.47,4.1,1.88,43.22,1.41,Sander van de Streek,220155,Antalyaspor,3056,Antalyaspor,17.066666666666666,1536,25
0.05,1.79,55.74,1.63,0.32,0.42,19.74,78.66,1.16,0.53,0.63,1.1,0.26,4.94,1.52,46.77,2.1,Babajide David Akintola,798676,Çaykur Rizespor,3064,Çaykur Rizespor,19.044444444444444,1714,23
0.0,0.54,50.0,0.43,0.22,0.0,27.53,79.26,0.22,0.0,2.58,3.87,1.29,7.2,1.18,59.09,2.9,Celil Yüksel,806972,Samsunspor,3053,Samsunspor,9.3,837,15
0.26,0.45,50.0,2.27,0.58,0.06,24.86,75.15,0.52,0.13,1.68,1.55,0.52,2.72,2.2,47.2,0.71,Danijel Aleksić,45377,Konyaspor,3085,Konyaspor,15.444444444444445,1390,25
0.0,3.79,58.33,2.03,0.54,0.14,21.65,78.05,1.62,0.27,1.62,2.57,0.41,7.71,0.27,48.36,1.35,Pedro Brazão,981535,Bodrum FK,202390,Bodrum FK,7.388888888888889,665,17
0.0,1.75,48.0,0.58,0.15,0.29,36.38,87.06,1.17,1.31,1.9,1.9,0.73,4.68,0.88,43.68,1.02,Yalçın Kayan,945548,Eyüpspor,7040,Eyüpspor,6.844444444444444,616,10
0.14,0.69,42.86,0.92,0.37,0.0,21.32,75.2,0.79,0.6,1.16,1.66,0.83,3.7,0.55,45.77,1.34,Yusuf Özdemir,1084884,Alanyaspor,6362,Alanyaspor,21.622222222222224,1946,25
0.04,1.22,62.22,0.57,0.3,0.0,35.19,87.74,0.35,0.09,1.57,2.0,1.0,4.05,1.17,53.1,0.87,Maestro,1002146,Adana Demirspor,3101,Adana Demirspor,22.988888888888887,2069,23
0.0,1.56,61.11,0.28,0.07,0.07,24.26,78.44,0.57,0.07,1.35,3.05,1.13,7.23,0.92,57.21,2.62,İzzet Çelik,826836,Adana Demirspor,3101,Adana Demirspor,14.1,1269,18
0.0,1.47,62.5,1.08,0.0,0.24,26.2,78.1,0.98,0.1,1.37,2.79,1.76,4.95,1.22,47.55,0.69,Anthony Junior Dennis,1484438,Göztepe,3054,Göztepe,20.42222222222222,1838,22
0.2,1.66,48.57,1.56,0.68,0.1,24.47,76.76,1.66,0.2,0.88,2.15,0.39,4.58,0.59,44.17,0.78,Arbnor Muja,890695,Samsunspor,3053,Samsunspor,10.255555555555556,923,24
